x,y,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,combination_of_primary_and,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,primary_fur_color,location,above_ground_sighter,age,color_notes,highlight_fur_color,specific_location,other_activities,other_interactions,:@computed_region_efsh_h5xi,activity_score,year,month,day,weekday,nearest_tree_x,distance_meters_x,nearest_tree_y,distance_meters_y
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,+,False,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9561344937861, 40.7940823884086]}",19,4,19,13,,,,,,,,,,,0,2018,10,14,Sunday,,,,
-73.9688574691102,40.7837825208444,21B-AM-1019-04,21B,AM,2018-10-19,4,+,False,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9688574691102, 40.7837825208444]}",19,4,19,13,,,,,,,,,,,0,2018,10,19,Friday,,,,
-73.9742811484852,40.775533619083,11B-PM-1014-08,11B,PM,2018-10-14,8,Gray+,False,True,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.97428114848522, 40.775533619083]}",19,4,19,13,Gray,Above Ground,10,,,,,,,,1,2018,10,14,Sunday,178756,645.9149508245042,178756,645.9149508245042
-73.9596413903948,40.7903128889029,32E-PM-1017-14,32E,PM,2018-10-17,14,Gray+,False,False,False,True,True,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9596413903948, 40.7903128889029]}",19,4,19,13,Gray,,,Adult,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,,,2,2018,10,17,Wednesday,,,,
-73.9702676472613,40.7762126854894,13E-AM-1017-05,13E,AM,2018-10-17,5,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9702676472613, 40.7762126854894]}",19,4,19,13,Gray,Above Ground,,Adult,,Cinnamon,on tree stump,,,,1,2018,10,17,Wednesday,196015,875.7721605899537,196015,875.7721605899537
-73.9683613516225,40.7725908847499,11H-AM-1010-03,11H,AM,2018-10-10,3,Cinnamon+White,False,False,False,False,True,False,False,False,False,True,False,True,False,"{'type': 'Point', 'coordinates': [-73.9683613516225, 40.7725908847499]}",19,4,19,13,Cinnamon,,,Adult,,White,,,,,1,2018,10,10,Wednesday,,,,
-73.9541201789795,40.7931811701082,36H-AM-1010-02,36H,AM,2018-10-10,2,Gray+,False,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9541201789795, 40.7931811701082]}",19,4,19,13,Gray,Ground Plane,FALSE,Adult,just outside hectare,,,,,,1,2018,10,10,Wednesday,,,,
-73.9582694312289,40.7917367820255,33F-AM-1008-02,33F,AM,2018-10-08,2,Gray+,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9582694312289, 40.7917367820255]}",19,4,19,13,Gray,Ground Plane,FALSE,Adult,,,,,,,1,2018,10,8,Monday,,,,
-73.9674285955293,40.7829723919744,21C-PM-1006-01,21C,PM,2018-10-06,1,Gray+,False,False,False,False,False,False,False,False,True,True,False,False,False,"{'type': 'Point', 'coordinates': [-73.9674285955293, 40.7829723919744]}",19,4,19,13,Gray,Ground Plane,FALSE,Adult,,,,,,,0,2018,10,6,Saturday,,,,
-73.9722500196844,40.7742879599026,11D-AM-1010-03,11D,AM,2018-10-10,3,Gray+Cinnamon,False,False,True,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9722500196844, 40.7742879599026]}",19,4,19,13,Gray,Above Ground,30,Adult,,Cinnamon,,grooming,,,1,2018,10,10,Wednesday,204010,890.6049520633879,204010,890.6049520633879
