hectare,squirrel_count
01A,1
01B,5
01C,3
01D,5
01E,1
01F,2
01G,2
01H,3
02A,4
02B,4
02C,7
02D,4
02E,5
02F,5
02H,2
02I,1
03A,5
03B,9
03C,1
03D,7
03E,6
03F,3
03G,1
03H,2
03I,3
04A,1
04B,4
04C,4
04D,8
04E,4
04F,1
04G,3
04H,2
04I,2
05A,2
05C,8
05D,5
05E,5
05F,2
05G,1
05I,4
06A,9
06B,3
06D,4
06F,4
06G,2
06H,2
06I,1
07A,3
07B,8
07D,1
07E,6
07F,4
07G,5
07H,10
07I,1
08A,4
08B,6
08C,5
08D,4
08E,4
08F,4
08G,2
08H,7
08I,4
09A,8
09B,7
09C,5
09D,1
09E,1
09F,5
09G,5
09H,4
09I,5
10A,4
10B,5
10C,2
10D,2
10F,8
10G,10
10H,1
10I,1
11A,3
11B,3
11C,1
11D,4
11E,2
11F,1
11G,2
11H,5
11I,3
12A,1
12B,3
12C,3
12D,1
12E,3
12F,5
12G,4
12H,3
12I,1
13A,3
13B,1
13C,5
13D,8
13E,11
13F,1
13G,1
13H,5
13I,1
14A,2
14B,2
14C,1
14D,10
14E,14
14F,8
14G,2
14H,4
14I,2
15A,1
15B,1
15C,2
15D,3
15E,5
15F,8
15G,5
15H,3
15I,6
16A,2
16B,1
16C,4
16D,8
16E,5
16F,2
16G,3
16H,1
16I,1
17A,1
17B,2
17C,2
17D,2
17E,5
17F,6
17G,1
17H,1
17I,2
18A,2
18C,5
18D,2
18F,1
18G,2
18H,1
18I,3
19A,2
19B,4
19C,2
19D,1
19E,1
19F,7
19G,1
19H,1
20A,2
20B,4
20C,2
20D,1
20F,4
20G,1
21A,2
21B,2
21C,1
21D,2
21E,1
21F,5
21G,6
21H,1
22A,3
22B,3
22C,7
22D,3
22F,9
22G,3
22H,1
22I,2
23B,3
23C,2
23D,1
23E,1
23F,1
24A,2
24B,1
25A,4
25I,1
26A,5
26B,1
26I,3
27A,3
27I,2
28A,1
28C,2
28D,2
28I,1
29B,2
29C,3
29D,1
29H,1
29I,1
30A,1
30B,7
30C,2
30D,1
30E,1
30I,1
31A,4
31B,1
31D,5
31E,3
31F,2
31G,1
31H,2
31I,1
32A,3
32B,5
32C,3
32D,5
32E,10
32F,6
32G,4
32H,2
32I,4
33A,1
33B,5
33C,2
33D,4
33E,7
33F,3
33G,2
33H,1
33I,4
34A,1
34B,1
34D,2
34E,1
34F,1
34H,2
34I,3
35A,7
35B,1
35C,5
35D,6
35E,6
35F,1
35G,2
36A,5
36B,5
36C,2
36D,3
36E,1
36F,3
36G,1
36H,3
36I,14
37A,1
37B,4
37C,2
37D,4
37E,5
37F,3
37G,6
37H,4
37I,1
38A,2
38B,3
38C,5
38D,4
38E,5
38F,2
38G,3
38I,1
39A,2
39B,5
39C,4
39D,1
39F,2
39G,5
39H,4
40A,3
40B,4
40C,6
40D,3
40E,4
40G,4
40I,1
41A,4
41B,7
41C,2
41D,5
41E,4
41I,1
42A,1
42B,1
42C,2
42D,2
42E,1
42F,1
42G,4
42H,2
42I,1
